Submission_ID	Tube_ID	Sample_ID	Type	Date_Collected	Sample_Type	gGenus	sSpecies	Group	Ploidy	PloidyGroup	RegionOrigin	CountryOrigin	Status	Comments	GenomeLineage
C01_41_Soil_07132017	C01.41.Soil 7/13/17	C01_41_Soil	C_Soil	7/13/17	Soil	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	UnitedStates	Cultivated	.	Outgroup
C01_48_Soil_07132017	C01.48.soil 7/13	C01_48_Soil	C_Soil	7/13/17	Soil	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	UnitedStates	Cultivated	.	Outgroup
C02_17_Rh_07132017	C02 17 7/13 Rh	C02_17_Rh	C_Rh	7/13/17	Rhizosphere	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	Mexico	Wild	.	Outgroup
C02_17_Root_07132017	C02.17.Root 7/13/17	C02_17_Root	C_Root	7/13/17	Root	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	Mexico	Wild	.	Outgroup
C02_17_Soil_07132017	C02.17.soil 7/13	C02_17_Soil	C_Soil	7/13/17	Soil	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	Mexico	Wild	.	Outgroup
C02_22_Root_07132017	C02.22.Root 7/13/17	C02_22_Root	C_Root	7/13/17	Root	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	Mexico	Wild	.	Outgroup
C02_22_Soil_07132017	C02.22.soil 7/13	C02_22_Soil	C_Soil	7/13/17	Soil	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	Mexico	Wild	.	Outgroup
C02_26_Soil_07132017	C02 26 7/13 soil	C02_26_Soil	C_Soil	7/13/17	Soil	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	Mexico	Wild	.	Outgroup
C02_28_Rh_07132017	C02 28 7/13 Rh	C02_28_Rh	C_Rh	7/13/17	Rhizosphere	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	Mexico	Wild	.	Outgroup
C02_28_Root_07132017	C02.28.Root 7/13/17	C02_28_Root	C_Root	7/13/17	Root	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	Mexico	Wild	.	Outgroup
C02_43_C_Soil_07132017	C02.43.C.soil 7/13	C02_43_C_Soil	C_Soil	7/13/17	Soil	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	Mexico	Wild	.	Outgroup
C02_43_Soil_07132017	C02 43 7/13 soil	C02_43_Soil	C_Soil	7/13/17	Soil	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	Mexico	Wild	.	Outgroup
C02_59_Soil_07132017	C02.59.soil 7/13	C02_59_Soil	C_Soil	7/13/17	Soil	Gossypium	Gossypium_hirsutum_L	Out	4n	Polyploid	NorthAmerica	Mexico	Wild	.	Outgroup
C03_40_Soil_07132017	C03 40 7/13 S	C03_40_Soil	C_Soil	7/13/17	Soil	Gossypium	Gossypium_arboreum_L	Out	2n	Diploid	Asia	India	Wild	.	Outgroup
C03_42_Rh_07132017	C03 42 7/13 Rh	C03_42_Rh	C_Rh	7/13/17	Rhizosphere	Gossypium	Gossypium_arboreum_L	Out	2n	Diploid	Asia	India	Wild	.	Outgroup
C03_42_Root_07132017	C03.42.Root 7/13/17	C03_42_Root	C_Root	7/13/17	Root	Gossypium	Gossypium_arboreum_L	Out	2n	Diploid	Asia	India	Wild	.	Outgroup
C03_42_Soil_07132017	C03.42.soil 7/13	C03_42_Soil	C_Soil	7/13/17	Soil	Gossypium	Gossypium_arboreum_L	Out	2n	Diploid	Asia	India	Wild	.	Outgroup
C03_45_Soil_07132017	C03 45 7/13 soil	C03_45_Soil	C_Soil	7/13/17	Soil	Gossypium	Gossypium_arboreum_L	Out	2n	Diploid	Asia	India	Wild	.	Outgroup
C03_52_Soil_07132017	C03.52.soil 7/13	C03_52_Soil	C_Soil	7/13/17	Soil	Gossypium	Gossypium_arboreum_L	Out	2n	Diploid	Asia	India	Wild	.	Outgroup
